0.00.318.843 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.424.319 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_K_M.gguf'
0.39.896.873 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.39.933.382 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.39.933.439 I srv  llama_server: model loaded
0.39.933.447 I srv  llama_server: listening on http://0.0.0.0:8091
0.40.019.200 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
16.18.128.160 I slot launch_slot_: id  3 | task 7846 | processing task, is_child = 0
16.28.344.476 I slot print_timing: id  3 | task 7846 | n_decoded =    100, tg =  11.13 t/s, tg_3s =  11.13 t/s
16.28.896.924 I slot print_timing: id  3 | task 7846 | prompt eval time =    1228.97 ms /    45 tokens (   27.31 ms per token,    36.62 tokens per second)
16.28.896.941 I slot print_timing: id  3 | task 7846 |        eval time =    9539.72 ms /   106 tokens (   90.00 ms per token,    11.11 tokens per second)
16.28.896.943 I slot print_timing: id  3 | task 7846 |       total time =   10768.70 ms /   151 tokens
16.28.896.944 I slot print_timing: id  3 | task 7846 |    graphs reused =       7340
16.28.897.046 I slot      release: id  3 | task 7846 | stop processing: n_tokens = 654, truncated = 0
16.28.935.795 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.839
16.28.936.286 I slot launch_slot_: id  3 | task 7954 | processing task, is_child = 0
16.38.824.886 I slot print_timing: id  3 | task 7954 | n_decoded =    100, tg =  11.59 t/s, tg_3s =  11.59 t/s
16.39.347.662 I slot print_timing: id  3 | task 7954 | prompt eval time =    1258.08 ms /    45 tokens (   27.96 ms per token,    35.77 tokens per second)
16.39.347.669 I slot print_timing: id  3 | task 7954 |        eval time =    9153.24 ms /   106 tokens (   86.35 ms per token,    11.58 tokens per second)
16.39.347.671 I slot print_timing: id  3 | task 7954 |       total time =   10411.32 ms /   151 tokens
16.39.347.672 I slot print_timing: id  3 | task 7954 |    graphs reused =       7444
16.39.348.009 I slot      release: id  3 | task 7954 | stop processing: n_tokens = 654, truncated = 0
16.39.389.776 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.839
16.39.390.314 I slot launch_slot_: id  3 | task 8062 | processing task, is_child = 0
16.49.234.243 I slot print_timing: id  3 | task 8062 | n_decoded =    100, tg =  11.59 t/s, tg_3s =  11.59 t/s
16.49.756.896 I slot print_timing: id  3 | task 8062 | prompt eval time =    1215.69 ms /    45 tokens (   27.02 ms per token,    37.02 tokens per second)
16.49.756.904 I slot print_timing: id  3 | task 8062 |        eval time =    9150.82 ms /   106 tokens (   86.33 ms per token,    11.58 tokens per second)
16.49.756.906 I slot print_timing: id  3 | task 8062 |       total time =   10366.51 ms /   151 tokens
16.49.756.907 I slot print_timing: id  3 | task 8062 |    graphs reused =       7548
16.49.757.015 I slot      release: id  3 | task 8062 | stop processing: n_tokens = 654, truncated = 0
16.49.795.438 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.839
16.49.795.906 I slot launch_slot_: id  3 | task 8170 | processing task, is_child = 0
16.59.638.627 I slot print_timing: id  3 | task 8170 | n_decoded =    100, tg =  11.59 t/s, tg_3s =  11.59 t/s
17.00.161.261 I slot print_timing: id  3 | task 8170 | prompt eval time =    1212.90 ms /    45 tokens (   26.95 ms per token,    37.10 tokens per second)
17.00.161.269 I slot print_timing: id  3 | task 8170 |        eval time =    9152.39 ms /   106 tokens (   86.34 ms per token,    11.58 tokens per second)
17.00.161.271 I slot print_timing: id  3 | task 8170 |       total time =   10365.29 ms /   151 tokens
17.00.161.272 I slot print_timing: id  3 | task 8170 |    graphs reused =       7652
17.00.161.560 I slot      release: id  3 | task 8170 | stop processing: n_tokens = 654, truncated = 0
17.00.342.434 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 177850913405
17.00.477.130 I slot launch_slot_: id  2 | task 8278 | processing task, is_child = 0
17.05.109.298 I slot print_timing: id  2 | task 8278 | prompt eval time =    1157.60 ms /    21 tokens (   55.12 ms per token,    18.14 tokens per second)
17.05.109.306 I slot print_timing: id  2 | task 8278 |        eval time =    2449.29 ms /    29 tokens (   84.46 ms per token,    11.84 tokens per second)
17.05.109.307 I slot print_timing: id  2 | task 8278 |       total time =    3606.88 ms /    50 tokens
17.05.109.309 I slot print_timing: id  2 | task 8278 |    graphs reused =       7679
17.05.109.642 I slot      release: id  2 | task 8278 | stop processing: n_tokens = 518, truncated = 0
17.05.147.822 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.946
17.05.148.309 I slot launch_slot_: id  2 | task 8309 | processing task, is_child = 0
17.08.622.419 I slot print_timing: id  2 | task 8309 | prompt eval time =    1017.32 ms /    21 tokens (   48.44 ms per token,    20.64 tokens per second)
17.08.622.427 I slot print_timing: id  2 | task 8309 |        eval time =    2456.73 ms /    29 tokens (   84.71 ms per token,    11.80 tokens per second)
17.08.622.429 I slot print_timing: id  2 | task 8309 |       total time =    3474.05 ms /    50 tokens
17.08.622.430 I slot print_timing: id  2 | task 8309 |    graphs reused =       7706
17.08.622.522 I slot      release: id  2 | task 8309 | stop processing: n_tokens = 518, truncated = 0
17.08.660.555 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.946
17.08.661.032 I slot launch_slot_: id  2 | task 8340 | processing task, is_child = 0
17.12.188.485 I slot print_timing: id  2 | task 8340 | prompt eval time =    1070.99 ms /    21 tokens (   51.00 ms per token,    19.61 tokens per second)
17.12.188.493 I slot print_timing: id  2 | task 8340 |        eval time =    2456.40 ms /    29 tokens (   84.70 ms per token,    11.81 tokens per second)
17.12.188.494 I slot print_timing: id  2 | task 8340 |       total time =    3527.39 ms /    50 tokens
17.12.188.496 I slot print_timing: id  2 | task 8340 |    graphs reused =       7733
17.12.188.587 I slot      release: id  2 | task 8340 | stop processing: n_tokens = 518, truncated = 0
17.12.226.454 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.946
17.12.226.902 I slot launch_slot_: id  2 | task 8371 | processing task, is_child = 0
17.15.694.606 I slot print_timing: id  2 | task 8371 | prompt eval time =    1013.44 ms /    21 tokens (   48.26 ms per token,    20.72 tokens per second)
17.15.694.615 I slot print_timing: id  2 | task 8371 |        eval time =    2454.19 ms /    29 tokens (   84.63 ms per token,    11.82 tokens per second)
17.15.694.616 I slot print_timing: id  2 | task 8371 |       total time =    3467.63 ms /    50 tokens
17.15.694.618 I slot print_timing: id  2 | task 8371 |    graphs reused =       7760
17.15.694.709 I slot      release: id  2 | task 8371 | stop processing: n_tokens = 518, truncated = 0
17.15.733.004 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.946
17.15.733.496 I slot launch_slot_: id  2 | task 8402 | processing task, is_child = 0
17.19.194.864 I slot print_timing: id  2 | task 8402 | prompt eval time =    1012.40 ms /    21 tokens (   48.21 ms per token,    20.74 tokens per second)
17.19.194.878 I slot print_timing: id  2 | task 8402 |        eval time =    2448.91 ms /    29 tokens (   84.45 ms per token,    11.84 tokens per second)
17.19.194.879 I slot print_timing: id  2 | task 8402 |       total time =    3461.31 ms /    50 tokens
17.19.194.880 I slot print_timing: id  2 | task 8402 |    graphs reused =       7787
17.19.194.986 I slot      release: id  2 | task 8402 | stop processing: n_tokens = 518, truncated = 0
17.19.232.445 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 177921472087
17.19.523.669 I slot launch_slot_: id  1 | task 8433 | processing task, is_child = 0
17.25.929.353 I slot print_timing: id  1 | task 8433 | prompt eval time =    1070.01 ms /    18 tokens (   59.44 ms per token,    16.82 tokens per second)
17.25.929.362 I slot print_timing: id  1 | task 8433 |        eval time =    2356.50 ms /    28 tokens (   84.16 ms per token,    11.88 tokens per second)
17.25.929.363 I slot print_timing: id  1 | task 8433 |       total time =    3426.50 ms /    46 tokens
17.25.929.364 I slot print_timing: id  1 | task 8433 |    graphs reused =       7813
17.25.929.674 I slot      release: id  1 | task 8433 | stop processing: n_tokens = 512, truncated = 0
17.25.970.973 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
17.25.971.481 I slot launch_slot_: id  1 | task 8463 | processing task, is_child = 0
17.29.341.194 I slot print_timing: id  1 | task 8463 | prompt eval time =    1013.34 ms /    18 tokens (   56.30 ms per token,    17.76 tokens per second)
17.29.341.203 I slot print_timing: id  1 | task 8463 |        eval time =    2356.30 ms /    28 tokens (   84.15 ms per token,    11.88 tokens per second)
17.29.341.205 I slot print_timing: id  1 | task 8463 |       total time =    3369.65 ms /    46 tokens
17.29.341.211 I slot print_timing: id  1 | task 8463 |    graphs reused =       7839
17.29.341.313 I slot      release: id  1 | task 8463 | stop processing: n_tokens = 512, truncated = 0
17.29.378.113 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
17.29.378.508 I slot launch_slot_: id  1 | task 8493 | processing task, is_child = 0
17.32.803.960 I slot print_timing: id  1 | task 8493 | prompt eval time =    1069.01 ms /    18 tokens (   59.39 ms per token,    16.84 tokens per second)
17.32.803.968 I slot print_timing: id  1 | task 8493 |        eval time =    2356.39 ms /    28 tokens (   84.16 ms per token,    11.88 tokens per second)
17.32.803.969 I slot print_timing: id  1 | task 8493 |       total time =    3425.40 ms /    46 tokens
17.32.803.971 I slot print_timing: id  1 | task 8493 |    graphs reused =       7865
17.32.804.062 I slot      release: id  1 | task 8493 | stop processing: n_tokens = 512, truncated = 0
17.32.840.860 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
17.32.841.240 I slot launch_slot_: id  1 | task 8523 | processing task, is_child = 0
17.36.234.904 I slot print_timing: id  1 | task 8523 | prompt eval time =    1034.00 ms /    18 tokens (   57.44 ms per token,    17.41 tokens per second)
17.36.234.913 I slot print_timing: id  1 | task 8523 |        eval time =    2359.61 ms /    28 tokens (   84.27 ms per token,    11.87 tokens per second)
17.36.234.914 I slot print_timing: id  1 | task 8523 |       total time =    3393.61 ms /    46 tokens
17.36.234.916 I slot print_timing: id  1 | task 8523 |    graphs reused =       7891
17.36.237.410 I slot      release: id  1 | task 8523 | stop processing: n_tokens = 512, truncated = 0
17.36.280.722 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.947
17.36.281.103 I slot launch_slot_: id  1 | task 8553 | processing task, is_child = 0
17.39.684.429 I slot print_timing: id  1 | task 8553 | prompt eval time =    1046.52 ms /    18 tokens (   58.14 ms per token,    17.20 tokens per second)
17.39.684.438 I slot print_timing: id  1 | task 8553 |        eval time =    2356.75 ms /    28 tokens (   84.17 ms per token,    11.88 tokens per second)
17.39.684.440 I slot print_timing: id  1 | task 8553 |       total time =    3403.27 ms /    46 tokens
17.39.684.441 I slot print_timing: id  1 | task 8553 |    graphs reused =       7917
17.39.684.527 I slot      release: id  1 | task 8553 | stop processing: n_tokens = 512, truncated = 0
17.39.732.162 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.961 (> 0.100 thold), f_keep = 0.918
17.39.732.679 I slot launch_slot_: id  1 | task 8583 | processing task, is_child = 0
17.44.356.159 I slot print_timing: id  1 | task 8583 | prompt eval time =    1040.38 ms /    22 tokens (   47.29 ms per token,    21.15 tokens per second)
17.44.356.168 I slot print_timing: id  1 | task 8583 |        eval time =    3583.04 ms /    42 tokens (   85.31 ms per token,    11.72 tokens per second)
17.44.356.169 I slot print_timing: id  1 | task 8583 |       total time =    4623.42 ms /    64 tokens
17.44.356.171 I slot print_timing: id  1 | task 8583 |    graphs reused =       7957
17.44.356.662 I slot      release: id  1 | task 8583 | stop processing: n_tokens = 530, truncated = 0
17.44.401.826 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.923
17.44.402.222 I slot launch_slot_: id  1 | task 8627 | processing task, is_child = 0
17.49.037.874 I slot print_timing: id  1 | task 8627 | prompt eval time =    1038.89 ms /    22 tokens (   47.22 ms per token,    21.18 tokens per second)
17.49.037.882 I slot print_timing: id  1 | task 8627 |        eval time =    3596.70 ms /    42 tokens (   85.64 ms per token,    11.68 tokens per second)
17.49.037.884 I slot print_timing: id  1 | task 8627 |       total time =    4635.59 ms /    64 tokens
17.49.037.885 I slot print_timing: id  1 | task 8627 |    graphs reused =       7997
17.49.037.975 I slot      release: id  1 | task 8627 | stop processing: n_tokens = 530, truncated = 0
17.49.086.857 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.923
17.49.087.231 I slot launch_slot_: id  1 | task 8671 | processing task, is_child = 0
17.53.727.648 I slot print_timing: id  1 | task 8671 | prompt eval time =    1063.65 ms /    22 tokens (   48.35 ms per token,    20.68 tokens per second)
17.53.727.656 I slot print_timing: id  1 | task 8671 |        eval time =    3576.70 ms /    42 tokens (   85.16 ms per token,    11.74 tokens per second)
17.53.727.657 I slot print_timing: id  1 | task 8671 |       total time =    4640.35 ms /    64 tokens
17.53.727.659 I slot print_timing: id  1 | task 8671 |    graphs reused =       8037
17.53.727.775 I slot      release: id  1 | task 8671 | stop processing: n_tokens = 530, truncated = 0
17.53.769.925 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.923
17.53.770.303 I slot launch_slot_: id  1 | task 8715 | processing task, is_child = 0
17.58.460.817 I slot print_timing: id  1 | task 8715 | prompt eval time =    1045.49 ms /    22 tokens (   47.52 ms per token,    21.04 tokens per second)
17.58.460.826 I slot print_timing: id  1 | task 8715 |        eval time =    3644.97 ms /    42 tokens (   86.78 ms per token,    11.52 tokens per second)
17.58.460.827 I slot print_timing: id  1 | task 8715 |       total time =    4690.46 ms /    64 tokens
17.58.460.829 I slot print_timing: id  1 | task 8715 |    graphs reused =       8077
17.58.460.912 I slot      release: id  1 | task 8715 | stop processing: n_tokens = 530, truncated = 0
17.58.507.915 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.923
17.58.508.280 I slot launch_slot_: id  1 | task 8759 | processing task, is_child = 0
18.03.165.436 I slot print_timing: id  1 | task 8759 | prompt eval time =    1080.69 ms /    22 tokens (   49.12 ms per token,    20.36 tokens per second)
18.03.165.444 I slot print_timing: id  1 | task 8759 |        eval time =    3576.40 ms /    42 tokens (   85.15 ms per token,    11.74 tokens per second)
18.03.165.446 I slot print_timing: id  1 | task 8759 |       total time =    4657.10 ms /    64 tokens
18.03.165.447 I slot print_timing: id  1 | task 8759 |    graphs reused =       8117
18.03.165.528 I slot      release: id  1 | task 8759 | stop processing: n_tokens = 530, truncated = 0
18.03.212.620 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.971 (> 0.100 thold), f_keep = 0.887
18.03.212.994 I slot launch_slot_: id  1 | task 8803 | processing task, is_child = 0
18.06.548.546 I slot print_timing: id  1 | task 8803 | prompt eval time =    1063.48 ms /    17 tokens (   62.56 ms per token,    15.99 tokens per second)
18.06.548.554 I slot print_timing: id  1 | task 8803 |        eval time =    2272.01 ms /    27 tokens (   84.15 ms per token,    11.88 tokens per second)
18.06.548.555 I slot print_timing: id  1 | task 8803 |       total time =    3335.49 ms /    44 tokens
18.06.548.556 I slot print_timing: id  1 | task 8803 |    graphs reused =       8142
18.06.548.653 I slot      release: id  1 | task 8803 | stop processing: n_tokens = 510, truncated = 0
18.06.594.775 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.949
18.06.595.344 I slot launch_slot_: id  1 | task 8832 | processing task, is_child = 0
18.09.931.245 I slot print_timing: id  1 | task 8832 | prompt eval time =    1066.74 ms /    17 tokens (   62.75 ms per token,    15.94 tokens per second)
18.09.931.254 I slot print_timing: id  1 | task 8832 |        eval time =    2269.10 ms /    27 tokens (   84.04 ms per token,    11.90 tokens per second)
18.09.931.255 I slot print_timing: id  1 | task 8832 |       total time =    3335.84 ms /    44 tokens
18.09.931.257 I slot print_timing: id  1 | task 8832 |    graphs reused =       8167
18.09.931.345 I slot      release: id  1 | task 8832 | stop processing: n_tokens = 510, truncated = 0
18.09.979.960 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.949
18.09.980.323 I slot launch_slot_: id  1 | task 8861 | processing task, is_child = 0
18.13.316.966 I slot print_timing: id  1 | task 8861 | prompt eval time =    1067.20 ms /    17 tokens (   62.78 ms per token,    15.93 tokens per second)
18.13.316.975 I slot print_timing: id  1 | task 8861 |        eval time =    2269.38 ms /    27 tokens (   84.05 ms per token,    11.90 tokens per second)
18.13.316.976 I slot print_timing: id  1 | task 8861 |       total time =    3336.58 ms /    44 tokens
18.13.316.978 I slot print_timing: id  1 | task 8861 |    graphs reused =       8192
18.13.317.281 I slot      release: id  1 | task 8861 | stop processing: n_tokens = 510, truncated = 0
18.13.363.385 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.949
18.13.363.759 I slot launch_slot_: id  1 | task 8890 | processing task, is_child = 0
18.16.695.626 I slot print_timing: id  1 | task 8890 | prompt eval time =    1061.44 ms /    17 tokens (   62.44 ms per token,    16.02 tokens per second)
18.16.695.634 I slot print_timing: id  1 | task 8890 |        eval time =    2270.36 ms /    27 tokens (   84.09 ms per token,    11.89 tokens per second)
18.16.695.636 I slot print_timing: id  1 | task 8890 |       total time =    3331.80 ms /    44 tokens
18.16.695.637 I slot print_timing: id  1 | task 8890 |    graphs reused =       8217
18.16.695.743 I slot      release: id  1 | task 8890 | stop processing: n_tokens = 510, truncated = 0
18.16.742.196 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.949
18.16.742.579 I slot launch_slot_: id  1 | task 8919 | processing task, is_child = 0
18.20.069.740 I slot print_timing: id  1 | task 8919 | prompt eval time =    1055.73 ms /    17 tokens (   62.10 ms per token,    16.10 tokens per second)
18.20.069.748 I slot print_timing: id  1 | task 8919 |        eval time =    2271.37 ms /    27 tokens (   84.12 ms per token,    11.89 tokens per second)
18.20.072.212 I slot print_timing: id  1 | task 8919 |       total time =    3327.10 ms /    44 tokens
18.20.072.223 I slot print_timing: id  1 | task 8919 |    graphs reused =       8242
18.20.072.350 I slot      release: id  1 | task 8919 | stop processing: n_tokens = 510, truncated = 0
18.20.121.748 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 177953480155
18.20.449.357 I slot launch_slot_: id  0 | task 8948 | processing task, is_child = 0
18.20.449.656 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1081.581 MiB)
18.20.510.806 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 3334.788 MiB)
18.28.566.847 I slot print_timing: id  0 | task 8948 | prompt eval time =    1090.50 ms /    20 tokens (   54.52 ms per token,    18.34 tokens per second)
18.28.566.856 I slot print_timing: id  0 | task 8948 |        eval time =    2362.01 ms /    28 tokens (   84.36 ms per token,    11.85 tokens per second)
18.28.566.857 I slot print_timing: id  0 | task 8948 |       total time =    3452.51 ms /    48 tokens
18.28.566.859 I slot print_timing: id  0 | task 8948 |    graphs reused =       8268
18.28.569.818 I slot      release: id  0 | task 8948 | stop processing: n_tokens = 516, truncated = 0
18.28.608.852 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.948
18.28.609.701 I slot launch_slot_: id  0 | task 8978 | processing task, is_child = 0
18.31.981.504 I slot print_timing: id  0 | task 8978 | prompt eval time =    1009.66 ms /    20 tokens (   50.48 ms per token,    19.81 tokens per second)
18.31.981.522 I slot print_timing: id  0 | task 8978 |        eval time =    2362.08 ms /    28 tokens (   84.36 ms per token,    11.85 tokens per second)
18.31.981.524 I slot print_timing: id  0 | task 8978 |       total time =    3371.75 ms /    48 tokens
18.31.981.525 I slot print_timing: id  0 | task 8978 |    graphs reused =       8294
18.31.981.617 I slot      release: id  0 | task 8978 | stop processing: n_tokens = 516, truncated = 0
18.32.029.594 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.948
18.32.030.251 I slot launch_slot_: id  0 | task 9008 | processing task, is_child = 0
18.35.401.119 I slot print_timing: id  0 | task 9008 | prompt eval time =    1009.13 ms /    20 tokens (   50.46 ms per token,    19.82 tokens per second)
18.35.401.127 I slot print_timing: id  0 | task 9008 |        eval time =    2361.67 ms /    28 tokens (   84.35 ms per token,    11.86 tokens per second)
18.35.401.128 I slot print_timing: id  0 | task 9008 |       total time =    3370.80 ms /    48 tokens
18.35.401.130 I slot print_timing: id  0 | task 9008 |    graphs reused =       8320
18.35.401.220 I slot      release: id  0 | task 9008 | stop processing: n_tokens = 516, truncated = 0
18.35.444.822 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.948
18.35.445.289 I slot launch_slot_: id  0 | task 9038 | processing task, is_child = 0
18.38.835.380 I slot print_timing: id  0 | task 9038 | prompt eval time =    1026.32 ms /    20 tokens (   51.32 ms per token,    19.49 tokens per second)
18.38.835.387 I slot print_timing: id  0 | task 9038 |        eval time =    2363.55 ms /    28 tokens (   84.41 ms per token,    11.85 tokens per second)
18.38.835.396 I slot print_timing: id  0 | task 9038 |       total time =    3389.87 ms /    48 tokens
18.38.835.397 I slot print_timing: id  0 | task 9038 |    graphs reused =       8346
18.38.835.743 I slot      release: id  0 | task 9038 | stop processing: n_tokens = 516, truncated = 0
18.38.886.665 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.948
18.38.887.194 I slot launch_slot_: id  0 | task 9068 | processing task, is_child = 0
18.42.293.479 I slot print_timing: id  0 | task 9068 | prompt eval time =    1039.59 ms /    20 tokens (   51.98 ms per token,    19.24 tokens per second)
18.42.293.488 I slot print_timing: id  0 | task 9068 |        eval time =    2366.63 ms /    28 tokens (   84.52 ms per token,    11.83 tokens per second)
18.42.293.490 I slot print_timing: id  0 | task 9068 |       total time =    3406.22 ms /    48 tokens
18.42.293.491 I slot print_timing: id  0 | task 9068 |    graphs reused =       8372
18.42.293.654 I slot      release: id  0 | task 9068 | stop processing: n_tokens = 516, truncated = 0
18.42.362.979 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 178013987633
18.42.363.546 I slot launch_slot_: id  3 | task 9098 | processing task, is_child = 0
18.42.363.631 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1088.271 MiB)
18.50.054.454 I slot print_timing: id  3 | task 9098 | prompt processing, n_tokens =    465, progress = 0.96, t =   3.62 s / 128.46 tokens per second
18.52.045.693 I slot print_timing: id  3 | task 9098 | prompt processing, n_tokens =    480, progress = 0.99, t =   5.61 s / 85.54 tokens per second
18.56.002.192 I slot print_timing: id  3 | task 9098 | prompt eval time =    6411.76 ms /   484 tokens (   13.25 ms per token,    75.49 tokens per second)
18.56.002.206 I slot print_timing: id  3 | task 9098 |        eval time =    3153.84 ms /    37 tokens (   85.24 ms per token,    11.73 tokens per second)
18.56.002.209 I slot print_timing: id  3 | task 9098 |       total time =    9565.60 ms /   521 tokens
18.56.002.211 I slot print_timing: id  3 | task 9098 |    graphs reused =       8406
18.56.006.041 I slot      release: id  3 | task 9098 | stop processing: n_tokens = 520, truncated = 0
18.56.054.666 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.931
18.56.055.136 I slot launch_slot_: id  3 | task 9139 | processing task, is_child = 0
19.00.229.849 I slot print_timing: id  3 | task 9139 | prompt eval time =    1032.01 ms /    19 tokens (   54.32 ms per token,    18.41 tokens per second)
19.00.229.857 I slot print_timing: id  3 | task 9139 |        eval time =    3142.65 ms /    37 tokens (   84.94 ms per token,    11.77 tokens per second)
19.00.229.859 I slot print_timing: id  3 | task 9139 |       total time =    4174.66 ms /    56 tokens
19.00.229.860 I slot print_timing: id  3 | task 9139 |    graphs reused =       8440
19.00.229.967 I slot      release: id  3 | task 9139 | stop processing: n_tokens = 520, truncated = 0
19.00.274.826 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.931
19.00.275.313 I slot launch_slot_: id  3 | task 9178 | processing task, is_child = 0
19.04.475.014 I slot print_timing: id  3 | task 9178 | prompt eval time =    1056.31 ms /    19 tokens (   55.60 ms per token,    17.99 tokens per second)
19.04.477.344 I slot print_timing: id  3 | task 9178 |        eval time =    3143.33 ms /    37 tokens (   84.95 ms per token,    11.77 tokens per second)
19.04.477.356 I slot print_timing: id  3 | task 9178 |       total time =    4199.64 ms /    56 tokens
19.04.477.358 I slot print_timing: id  3 | task 9178 |    graphs reused =       8474
19.04.477.490 I slot      release: id  3 | task 9178 | stop processing: n_tokens = 520, truncated = 0
19.04.521.560 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.931
19.04.522.025 I slot launch_slot_: id  3 | task 9217 | processing task, is_child = 0
19.08.726.489 I slot print_timing: id  3 | task 9217 | prompt eval time =    1058.76 ms /    19 tokens (   55.72 ms per token,    17.95 tokens per second)
19.08.726.497 I slot print_timing: id  3 | task 9217 |        eval time =    3145.64 ms /    37 tokens (   85.02 ms per token,    11.76 tokens per second)
19.08.726.499 I slot print_timing: id  3 | task 9217 |       total time =    4204.40 ms /    56 tokens
19.08.726.500 I slot print_timing: id  3 | task 9217 |    graphs reused =       8508
19.08.726.588 I slot      release: id  3 | task 9217 | stop processing: n_tokens = 520, truncated = 0
19.08.775.035 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.931
19.08.775.452 I slot launch_slot_: id  3 | task 9256 | processing task, is_child = 0
19.12.969.952 I slot print_timing: id  3 | task 9256 | prompt eval time =    1051.15 ms /    19 tokens (   55.32 ms per token,    18.08 tokens per second)
19.12.969.959 I slot print_timing: id  3 | task 9256 |        eval time =    3143.30 ms /    37 tokens (   84.95 ms per token,    11.77 tokens per second)
19.12.972.267 I slot print_timing: id  3 | task 9256 |       total time =    4194.44 ms /    56 tokens
19.12.972.278 I slot print_timing: id  3 | task 9256 |    graphs reused =       8542
19.12.972.388 I slot      release: id  3 | task 9256 | stop processing: n_tokens = 520, truncated = 0
19.13.024.505 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 178033021058
19.13.261.646 I slot launch_slot_: id  2 | task 9295 | processing task, is_child = 0
19.18.878.236 I slot print_timing: id  2 | task 9295 | prompt eval time =    1145.43 ms /    26 tokens (   44.05 ms per token,    22.70 tokens per second)
19.18.878.245 I slot print_timing: id  2 | task 9295 |        eval time =    3498.18 ms /    41 tokens (   85.32 ms per token,    11.72 tokens per second)
19.18.878.246 I slot print_timing: id  2 | task 9295 |       total time =    4643.60 ms /    67 tokens
19.18.878.248 I slot print_timing: id  2 | task 9295 |    graphs reused =       8581
